Date,Invoice_No,Customer,Product,Item Description,Quantity,Sales Price,Sales_Amount
5/12/2023,6133,A D ANTONIOU LTD,PPC ,Pressure Pump Cover,10.00,14.40,144.00
5/22/2023,6227,A D ANTONIOU LTD,VT1400L ,Water tank horizontal with legs 1400lt,1.00,184.00,184.00
6/9/2023,6390,A D ANTONIOU LTD,VT3000L ,Water tank horizontal with legs 3000lt,1.00,404.00,404.00
4/24/2023,5984,A D ANTONIOU LTD,VT4000V ,Water tank vertical 4000lt,1.00,443.20,443.20
5/12/2023,6133,A D ANTONIOU LTD,VT4000V ,Water tank vertical 4000lt,2.00,443.20,886.40
5/24/2023,6261,A D ANTONIOU LTD,VT4000V ,Water tank vertical 4000lt,1.00,443.20,443.20
5/16/2023,6165,A D ANTONIOU LTD,VT400L ,Water tank horizontal with legs 400lt,1.00,76.00,76.00
1/16/2023,5298,A SIOPACHAS & SIA LTD,PPC ,Pressure Pump Cover,5.00,14.40,72.00
2/8/2023,5462,A SIOPACHAS & SIA LTD,PPC ,Pressure Pump Cover,5.00,12.60,63.00
3/15/2023,5698,A SIOPACHAS & SIA LTD,PPC ,Pressure Pump Cover,5.00,12.60,63.00
3/23/2023,5762,A SIOPACHAS & SIA LTD,PPC ,Pressure Pump Cover,5.00,12.60,63.00
5/8/2023,6087,A SIOPACHAS & SIA LTD,PPC ,Pressure Pump Cover,5.00,12.60,63.00
6/13/2023,6410,A SIOPACHAS & SIA LTD,PPC ,Pressure Pump Cover,5.00,12.60,63.00
6/16/2023,6445,A SIOPACHAS & SIA LTD,PPC ,Pressure Pump Cover,8.00,12.60,100.80
3/10/2023,5675,A SIOPACHAS & SIA LTD,SVCR M20 WH ,Flower Pot Tray 5292105006789,1.00,1.85,1.85
3/10/2023,5675,A SIOPACHAS & SIA LTD,VF 3050 WH ,Flower Pot 5292105005775,1.00,9.25,9.25
2/21/2023,5545,A SIOPACHAS & SIA LTD,VF 4040RS WH ,Flower Pot 5292105003139,1.00,12.95,12.95
3/10/2023,5675,A SIOPACHAS & SIA LTD,VF 4040RS WH ,Flower Pot 5292105003139,2.00,12.95,25.90
2/21/2023,5545,A SIOPACHAS & SIA LTD,VF 4080RS WH ,Flower Pot 5292105002446,2.00,22.65,45.30
3/10/2023,5675,A SIOPACHAS & SIA LTD,VF 4080RS WH ,Flower Pot 5292105002446,3.00,22.65,67.95
2/21/2023,5545,A SIOPACHAS & SIA LTD,VF 4080T GD ,Flower Pot 5292105008707,1.00,17.57,17.57
3/10/2023,5675,A SIOPACHAS & SIA LTD,VF 4080T GD ,Flower Pot 5292105008707,3.00,17.57,52.71
2/21/2023,5545,A SIOPACHAS & SIA LTD,VF 4080T WH ,Flower Pot 5292105002033,1.00,17.57,17.57
2/21/2023,5545,A SIOPACHAS & SIA LTD,VFT 2565 WH ,Flower Pot Tray 5292105002576,2.00,4.62,9.24
3/10/2023,5675,A SIOPACHAS & SIA LTD,VFT 2565 WH ,Flower Pot Tray 5292105002576,2.00,4.62,9.24
2/21/2023,5545,A SIOPACHAS & SIA LTD,VFT 3535 WH ,Flower Pot Tray 5292105003870,1.00,3.70,3.70
3/10/2023,5675,A SIOPACHAS & SIA LTD,VFT 3535 WH ,Flower Pot Tray 5292105003870,2.00,3.70,7.40
1/27/2023,5384,A SIOPACHAS & SIA LTD,VT1000L ,Water tank horizontal with legs 1000lt,8.00,97.61,780.86
2/28/2023,5579,A SIOPACHAS & SIA LTD,VT1000L ,Water tank horizontal with legs 1000lt,1.00,97.61,97.61
3/27/2023,5788,A SIOPACHAS & SIA LTD,VT1000L ,Water tank horizontal with legs 1000lt,10.00,97.61,976.08
4/7/2023,5889,A SIOPACHAS & SIA LTD,VT1000L ,Water tank horizontal with legs 1000lt,3.00,97.61,292.82
5/17/2023,6171,A SIOPACHAS & SIA LTD,VT1000L ,Water tank horizontal with legs 1000lt,4.00,97.61,390.43
5/19/2023,6216,A SIOPACHAS & SIA LTD,VT1000L ,Water tank horizontal with legs 1000lt,6.00,97.61,585.65
5/24/2023,6260,A SIOPACHAS & SIA LTD,VT1000L ,Water tank horizontal with legs 1000lt,1.00,97.61,97.61
5/29/2023,6289,A SIOPACHAS & SIA LTD,VT1000L ,Water tank horizontal with legs 1000lt,2.00,97.61,195.22
6/16/2023,6445,A SIOPACHAS & SIA LTD,VT1000L ,Water tank horizontal with legs 1000lt,2.00,97.61,195.22
1/3/2023,5203,A SIOPACHAS & SIA LTD,VT1100 ,Water tank horizontal without legs 1100lt,1.00,100.55,100.55
5/19/2023,6202,A SIOPACHAS & SIA LTD,VT1100 ,Water tank horizontal without legs 1100lt,1.00,100.55,100.55
6/20/2023,6456,A SIOPACHAS & SIA LTD,VT1100 ,Water tank horizontal without legs 1100lt,1.00,100.55,100.55
1/3/2023,5203,A SIOPACHAS & SIA LTD,VT1100L ,Water tank horizontal with legs 1100lt,3.00,100.55,301.64
1/4/2023,5219,A SIOPACHAS & SIA LTD,VT1100L ,Water tank horizontal with legs 1100lt,2.00,100.55,201.10
1/9/2023,5236,A SIOPACHAS & SIA LTD,VT1100L ,Water tank horizontal with legs 1100lt,3.00,97.61,292.82
1/16/2023,5298,A SIOPACHAS & SIA LTD,VT1100L ,Water tank horizontal with legs 1100lt,2.00,97.61,195.22
1/20/2023,5328,A SIOPACHAS & SIA LTD,VT1100L ,Water tank horizontal with legs 1100lt,2.00,97.61,195.22
1/23/2023,5338,A SIOPACHAS & SIA LTD,VT1100L ,Water tank horizontal with legs 1100lt,2.00,97.61,195.22
1/24/2023,5355,A SIOPACHAS & SIA LTD,VT1100L ,Water tank horizontal with legs 1100lt,1.00,100.55,100.55
1/31/2023,5405,A SIOPACHAS & SIA LTD,VT1100L ,Water tank horizontal with legs 1100lt,4.00,97.61,390.43
2/2/2023,5430,A SIOPACHAS & SIA LTD,VT1100L ,Water tank horizontal with legs 1100lt,1.00,97.61,97.61
2/6/2023,5447,A SIOPACHAS & SIA LTD,VT1100L ,Water tank horizontal with legs 1100lt,2.00,100.55,201.10
2/8/2023,5462,A SIOPACHAS & SIA LTD,VT1100L ,Water tank horizontal with legs 1100lt,2.00,97.61,195.22
2/13/2023,5493,A SIOPACHAS & SIA LTD,VT1100L ,Water tank horizontal with legs 1100lt,1.00,100.55,100.55
2/14/2023,5506,A SIOPACHAS & SIA LTD,VT1100L ,Water tank horizontal with legs 1100lt,8.00,97.61,780.86
2/15/2023,5511,A SIOPACHAS & SIA LTD,VT1100L ,Water tank horizontal with legs 1100lt,8.00,97.61,780.86
2/17/2023,5526,A SIOPACHAS & SIA LTD,VT1100L ,Water tank horizontal with legs 1100lt,9.00,97.61,878.47
2/20/2023,5531,A SIOPACHAS & SIA LTD,VT1100L ,Water tank horizontal with legs 1100lt,4.00,100.55,402.19
2/22/2023,5558,A SIOPACHAS & SIA LTD,VT1100L ,Water tank horizontal with legs 1100lt,3.00,97.61,292.82
2/23/2023,5559,A SIOPACHAS & SIA LTD,VT1100L ,Water tank horizontal with legs 1100lt,2.00,97.61,195.22
3/6/2023,5624,A SIOPACHAS & SIA LTD,VT1100L ,Water tank horizontal with legs 1100lt,2.00,97.61,195.22
3/14/2023,5693,A SIOPACHAS & SIA LTD,VT1100L ,Water tank horizontal with legs 1100lt,4.00,97.61,390.43
3/15/2023,5698,A SIOPACHAS & SIA LTD,VT1100L ,Water tank horizontal with legs 1100lt,2.00,100.55,201.10
3/20/2023,5738,A SIOPACHAS & SIA LTD,VT1100L ,Water tank horizontal with legs 1100lt,2.00,97.61,195.22
3/20/2023,5740,A SIOPACHAS & SIA LTD,VT1100L ,Water tank horizontal with legs 1100lt,2.00,97.61,195.22
3/23/2023,5762,A SIOPACHAS & SIA LTD,VT1100L ,Water tank horizontal with legs 1100lt,2.00,97.61,195.22
3/27/2023,5788,A SIOPACHAS & SIA LTD,VT1100L ,Water tank horizontal with legs 1100lt,2.00,97.61,195.22
3/31/2023,5820,A SIOPACHAS & SIA LTD,VT1100L ,Water tank horizontal with legs 1100lt,2.00,97.61,195.22
4/3/2023,5832,A SIOPACHAS & SIA LTD,VT1100L ,Water tank horizontal with legs 1100lt,1.00,97.61,97.61
4/6/2023,5874,A SIOPACHAS & SIA LTD,VT1100L ,Water tank horizontal with legs 1100lt,2.00,97.61,195.22
4/10/2023,5898,A SIOPACHAS & SIA LTD,VT1100L ,Water tank horizontal with legs 1100lt,7.00,97.61,683.26
4/11/2023,5913,A SIOPACHAS & SIA LTD,VT1100L ,Water tank horizontal with legs 1100lt,2.00,97.61,195.22
4/19/2023,5948,A SIOPACHAS & SIA LTD,VT1100L ,Water tank horizontal with legs 1100lt,2.00,97.61,195.22
4/26/2023,6004,A SIOPACHAS & SIA LTD,VT1100L ,Water tank horizontal with legs 1100lt,2.00,97.61,195.22
5/3/2023,6047,A SIOPACHAS & SIA LTD,VT1100L ,Water tank horizontal with legs 1100lt,1.00,97.61,97.61
5/4/2023,6059,A SIOPACHAS & SIA LTD,VT1100L ,Water tank horizontal with legs 1100lt,4.00,97.61,390.43
5/8/2023,6087,A SIOPACHAS & SIA LTD,VT1100L ,Water tank horizontal with legs 1100lt,2.00,97.61,195.22
5/10/2023,6110,A SIOPACHAS & SIA LTD,VT1100L ,Water tank horizontal with legs 1100lt,3.00,97.61,292.82
5/30/2023,6301,A SIOPACHAS & SIA LTD,VT1100L ,Water tank horizontal with legs 1100lt,3.00,97.61,292.82
6/2/2023,6345,A SIOPACHAS & SIA LTD,VT1100L ,Water tank horizontal with legs 1100lt,10.00,100.55,1005.48
6/6/2023,6351,A SIOPACHAS & SIA LTD,VT1100L ,Water tank horizontal with legs 1100lt,2.00,97.61,195.22
6/8/2023,6369,A SIOPACHAS & SIA LTD,VT1100L ,Water tank horizontal with legs 1100lt,3.00,97.61,292.82
6/16/2023,6441,A SIOPACHAS & SIA LTD,VT1100L ,Water tank horizontal with legs 1100lt,2.00,97.61,195.22
6/16/2023,6445,A SIOPACHAS & SIA LTD,VT1100L ,Water tank horizontal with legs 1100lt,8.00,97.61,780.86
6/21/2023,6472,A SIOPACHAS & SIA LTD,VT1100L ,Water tank horizontal with legs 1100lt,9.00,97.61,878.47
6/26/2023,6498,A SIOPACHAS & SIA LTD,VT1100L ,Water tank horizontal with legs 1100lt,4.00,97.61,390.43
6/28/2023,6539,A SIOPACHAS & SIA LTD,VT1100L ,Water tank horizontal with legs 1100lt,2.00,97.61,195.22
1/18/2023,5310,A SIOPACHAS & SIA LTD,VT1400L ,Water tank horizontal with legs 1400lt,1.00,135.24,135.24
1/31/2023,5397,A SIOPACHAS & SIA LTD,VT1400L ,Water tank horizontal with legs 1400lt,1.00,135.24,135.24
2/6/2023,5447,A SIOPACHAS & SIA LTD,VT1400L ,Water tank horizontal with legs 1400lt,2.00,135.24,270.48
2/15/2023,5511,A SIOPACHAS & SIA LTD,VT1400L ,Water tank horizontal with legs 1400lt,2.00,135.24,270.48
