Product,Product Group 1,Product Group 2,Description,Price,Test,Product_Cost
BIFA 30 AN,Flower Pots,Flower Pot,Flower Pot 5292105000251,20.17,3.55,4
BIFA 30 CH,Flower Pots,Flower Pot,Flower Pot 5292105007151,20.17,3.55,4
BIFA 30 GD,Flower Pots,Flower Pot,Flower Pot 5292105008370..,20.17,3.58,4
BIFA 30 GSA,Flower Pots,Flower Pot,Flower Pot 5292105000237,20.17,3.58,4
BIFA 30 IM,Flower Pots,Flower Pot,Flower Pot 5292105001968,20.17,3.57,4
BIFA 30 PS,Flower Pots,Flower Pot,Flower Pot 5292105000220,20.17,3.55,4
BIFA 30 SM,Flower Pots,Flower Pot,Flower Pot 5292105006154,20.17,3.57,4
BIFA 30 WH,Flower Pots,Flower Pot,Flower Pot 5292105002262,20.17,3.55,4
BIFA 40 AN,Flower Pots,Flower Pot,Flower Pot 5292105000268,28.57,6.69,7
BIFA 40 CH,Flower Pots,Flower Pot,Flower Pot 5292105007168,28.57,6.69,7
BIFA 40 GD,Flower Pots,Flower Pot,Flower Pot 5292105008387,28.57,6.69,7
BIFA 40 GSA,Flower Pots,Flower Pot,Flower Pot 5292105000282,28.57,6.75,7
BIFA 40 IM,Flower Pots,Flower Pot,Flower Pot 5292105001982,28.57,6.72,7
BIFA 40 PS,Flower Pots,Flower Pot,Flower Pot 5292105000275,28.57,6.69,7
BIFA 40 SM,Flower Pots,Flower Pot,Flower Pot 5292105006161,28.57,6.72,7
BIFA 40 WH,Flower Pots,Flower Pot,Flower Pot 5292105002279,28.57,6.69,7
BIFA 50 AN,Flower Pots,Flower Pot,Flower Pot 5292105000312,42.86,11.51,12
BIFA 50 CH,Flower Pots,Flower Pot,Flower Pot 5292105007175,42.86,11.51,12
BIFA 50 GD,Flower Pots,Flower Pot,Flower Pot 5292105008394,42.86,11.51,12
BIFA 50 GSA,Flower Pots,Flower Pot,Flower Pot 5292105000336,42.86,11.63,12
BIFA 50 IM,Flower Pots,Flower Pot,Flower Pot 5292105002002,42.86,11.57,12
BIFA 50 PS,Flower Pots,Flower Pot,Flower Pot 5292105000329,42.86,11.51,12
BIFA 50 SM,Flower Pots,Flower Pot,Flower Pot 5292105006178,42.86,11.57,12
BIFA 50 WH,Flower Pots,Flower Pot,Flower Pot 5292105002859,42.86,11.51,12
COFA 40 IM,Flower Pots,Flower Pot,Flower Pot 5292105001920,22.69,4.69,5
GOFFA 30 AN,Flower Pots,Flower Pot,Flower Pot 5292105000015,16.81,2.67,3
GOFFA 30 CH,Flower Pots,Flower Pot,Flower Pot 5292105007137,16.81,2.67,3
GOFFA 30 GD,Flower Pots,Flower Pot,Flower Pot 5292105008400,16.81,2.69,3
GOFFA 30 GSA,Flower Pots,Flower Pot,Flower Pot 5292105000039,16.81,2.69,3
GOFFA 30 IM,Flower Pots,Flower Pot,Flower Pot 5292105001906,16.81,2.68,3
GOFFA 30 PS,Flower Pots,Flower Pot,Flower Pot 5292105000022,16.81,2.67,3
GOFFA 30 SM,Flower Pots,Flower Pot,Flower Pot 5292105006130,16.81,2.68,3
GOFFA 30 WH,Flower Pots,Flower Pot,Flower Pot 5292105002118,16.81,2.67,3
GOFFA 40 AN,Flower Pots,Flower Pot,Flower Pot 5292105000060,22.69,4.67,5
GOFFA 40 CH,Flower Pots,Flower Pot,Flower Pot 5292105007120,22.69,4.67,5
GOFFA 40 GD,Flower Pots,Flower Pot,Flower Pot 5292105008417,22.69,4.67,5
GOFFA 40 GSA,Flower Pots,Flower Pot,Flower Pot 5292105000084,22.69,4.71,5
GOFFA 40 IM,Flower Pots,Flower Pot,Flower Pot 5292105001920,22.69,4.69,5
GOFFA 40 PS,Flower Pots,Flower Pot,Flower Pot 5292105000077,22.69,4.67,5
GOFFA 40 SC,Flower Pots,Flower Pot,Flower Pot,22.69,4.69,5
GOFFA 40 WH,Flower Pots,Flower Pot,Flower Pot 5292105002132,22.69,4.67,5
GOFFA 50 AN,Flower Pots,Flower Pot,Flower Pot 5292105000114,31.09,7.73,8
GOFFA 50 CH,Flower Pots,Flower Pot,Flower Pot 5292105007144,31.09,7.73,8
GOFFA 50 GD,Flower Pots,Flower Pot,Flower Pot 5292105008424,31.09,7.73,8
GOFFA 50 GSA,Flower Pots,Flower Pot,Flower Pot 5292105000138,31.09,7.8,8
GOFFA 50 IM,Flower Pots,Flower Pot,Flower Pot 5292105001944,31.09,7.77,8
GOFFA 50 PS,Flower Pots,Flower Pot,Flower Pot 5292105000121,31.09,7.73,8
GOFFA 50 SM,Flower Pots,Flower Pot,Flower Pot 5292105006147,31.09,7.77,8
GOFFA 50 WH,Flower Pots,Flower Pot,Flower Pot 5292105002156,31.09,7.73,8
GOFFA PV40 AN,Flower Pots,Flower Pot,Flower Pot,35.29,9.1,10
GOFFA PV40 CH,Flower Pots,Flower Pot,Flower Pot,35.29,9.1,10
GOFFA PV40 GD,Flower Pots,Flower Pot,Flower Pot 5292105008431,35.29,9.1,10
GOFFA PV40 GSA,Flower Pots,Flower Pot,Flower Pot,35.29,9.19,10
GOFFA PV40 IM,Flower Pots,Flower Pot,Flower Pot,35.29,9.14,10
GOFFA PV40 PS,Flower Pots,Flower Pot,Flower Pot,35.29,9.1,10
GOFFA PV40 SM,Flower Pots,Flower Pot,Flower Pot,35.29,9.14,10
GOFFA PV40 WH,Flower Pots,Flower Pot,Flower Pot,35.29,9.1,10
PREPO 35 AN,Flower Pots,Flower Pot,Flower Pot 5292105002453,15.13,1.86,2
PREPO 35 CH,Flower Pots,Flower Pot,Flower Pot 5292105006918,15.13,1.86,2
PREPO 35 GD,Flower Pots,Flower Pot,Flower Pot 5292105008448,15.13,1.86,2
PREPO 35 GSA,Flower Pots,Flower Pot,Flower Pot 5292105005324,15.13,1.88,2
PREPO 35 IM,Flower Pots,Flower Pot,Flower Pot 5292105005119,15.13,1.87,2
PREPO 35 PS,Flower Pots,Flower Pot,Flower Pot 5292105002477,15.13,1.86,2
PREPO 35 SC,Flower Pots,Flower Pot,Flower Pot,15.13,1.87,2
PREPO 35 SM,Flower Pots,Flower Pot,Flower Pot 5292105005966,15.13,1.87,2
PREPO 35 WH,Flower Pots,Flower Pot,Flower Pot 5292105002866,15.13,1.86,2
PREPO 45 AN,Flower Pots,Flower Pot,Flower Pot 5292105002484,20.17,3.62,4
PREPO 45 CH,Flower Pots,Flower Pot,Flower Pot 5292105002927,20.17,3.62,4
PREPO 45 GD,Flower Pots,Flower Pot,Flower Pot 5292105008455,20.17,3.62,4
PREPO 45 GSA,Flower Pots,Flower Pot,Flower Pot 5292105005331,20.17,3.66,4
